Ensembl_gene_identifier	length
ENSG00000000003	4535
ENSG00000000005	1610
ENSG00000000419	1207
ENSG00000000457	6883
ENSG00000000460	5967
ENSG00000000938	3474
ENSG00000000971	8145
ENSG00000001036	2793
ENSG00000001084	8646
ENSG00000001167	3811
ENSG00000001460	8511
ENSG00000001461	9404
ENSG00000001497	5589
ENSG00000001561	4651
ENSG00000001617	4826
ENSG00000001626	9343
ENSG00000001629	7130
ENSG00000001630	3584
ENSG00000001631	6204
ENSG00000002016	4190
ENSG00000002079	6307
ENSG00000002330	1708
ENSG00000002549	3785
ENSG00000002586	4912
ENSG00000002586	4912
ENSG00000002587	8166
ENSG00000002726	3824
ENSG00000002745	3261
ENSG00000002746	13965
ENSG00000002822	7230
ENSG00000002834	7061
ENSG00000002919	3606
ENSG00000002933	3479
ENSG00000003056	3777
ENSG00000003096	6983
ENSG00000003137	5015
ENSG00000003147	4891
ENSG00000003249	4791
ENSG00000003393	10384
ENSG00000003400	7598
ENSG00000003402	22529
ENSG00000003436	11714
ENSG00000003509	3651
ENSG00000003756	10368
ENSG00000003987	5692
ENSG00000003989	7905
ENSG00000004059	1871
ENSG00000004139	11137
ENSG00000004142	2121
ENSG00000004399	9738
ENSG00000004455	5727
ENSG00000004468	6855
ENSG00000004478	5180
ENSG00000004487	5440
ENSG00000004534	7302
ENSG00000004660	7424
ENSG00000004700	3778
ENSG00000004766	9557
ENSG00000004776	1721
ENSG00000004777	5260
ENSG00000004779	1600
ENSG00000004799	4519
ENSG00000004809	3907
ENSG00000004838	4009
ENSG00000004846	9257
ENSG00000004848	3097
ENSG00000004864	3710
ENSG00000004866	6742
ENSG00000004897	6824
ENSG00000004939	5130
ENSG00000004948	4227
ENSG00000004961	2335
ENSG00000004975	5350
ENSG00000005001	2387
ENSG00000005007	8600
ENSG00000005020	5520
ENSG00000005022	1500
ENSG00000005059	3566
ENSG00000005073	2307
ENSG00000005075	1355
ENSG00000005100	5872
ENSG00000005102	2707
ENSG00000005108	10929
ENSG00000005156	12919
ENSG00000005175	5381
ENSG00000005187	7822
ENSG00000005189	4114
ENSG00000005194	3509
ENSG00000005206	7130
ENSG00000005238	6409
ENSG00000005243	1851
ENSG00000005249	4318
ENSG00000005302	9780
ENSG00000005339	15492
ENSG00000005379	11354
ENSG00000005381	3526
ENSG00000005421	2832
ENSG00000005436	5465
ENSG00000005448	2860
ENSG00000005469	4979
ENSG00000005471	7727
ENSG00000005483	9231
ENSG00000005486	2441
ENSG00000005513	4432
ENSG00000005700	8722
ENSG00000005801	11711
ENSG00000005810	15945
ENSG00000005812	7082
ENSG00000005844	6472
ENSG00000005882	5481
ENSG00000005884	9802
ENSG00000005889	9037
ENSG00000005893	5526
ENSG00000005961	5551
ENSG00000005981	4605
ENSG00000006007	4416
ENSG00000006015	3370
ENSG00000006016	3018
ENSG00000006025	6572
ENSG00000006042	5187
ENSG00000006047	4618
ENSG00000006059	1287
ENSG00000006062	5784
ENSG00000006071	12588
ENSG00000006116	3088
ENSG00000006118	7271
ENSG00000006125	7587
ENSG00000006128	1888
ENSG00000006194	6945
ENSG00000006210	5983
ENSG00000006282	5337
ENSG00000006283	9709
ENSG00000006327	1848
ENSG00000006377	3449
ENSG00000006432	12386
ENSG00000006451	3665
ENSG00000006453	4798
ENSG00000006459	9430
ENSG00000006468	9616
ENSG00000006530	10786
ENSG00000006534	6626
ENSG00000006555	6055
ENSG00000006576	8646
ENSG00000006606	706
ENSG00000006607	14413
ENSG00000006611	4904
ENSG00000006625	1597
ENSG00000006634	4583
ENSG00000006638	2793
ENSG00000006652	7489
ENSG00000006659	1079
ENSG00000006695	3172
ENSG00000006704	6498
ENSG00000006712	2668
ENSG00000006715	7801
ENSG00000006740	9281
ENSG00000006744	6345
ENSG00000006747	11623
ENSG00000006756	7030
ENSG00000006757	3441
ENSG00000006788	6120
ENSG00000006831	5878
ENSG00000006837	3057
ENSG00000007001	2957
ENSG00000007038	1967
